check,n,spearman_rho,spearman_p,regime_stability,priority_I_jaccard
Primary vs 15-49 years age-standardised (extended set),37,0.829,0.0,0.811,0.667
Primary vs 15-64 years age-standardised (extended set),37,0.84,0.0,0.838,0.667
Primary vs 65+ years age-standardised (extended set),37,0.77,0.0,0.811,0.538
Primary vs GBD+WHO divergence (European subset),30,0.71,0.0,0.9,0.6
Non-GBD WHO-GHO/WB DODJI variant,47,0.185,0.2123,0.511,0.333
