check,n,spearman_rho,spearman_p,regime_stability,priority_I_jaccard
Primary vs 15-49 years age-standardised,37,0.829,0.0,0.568,0.667
Primary vs 15-64 years age-standardised,37,0.84,0.0,0.486,0.667
Primary vs 65+ years age-standardised,37,0.77,0.0,0.486,0.667
