country,year,dodji_annual,mortality_rate_t,mortality_rate_t3,log_change_t3,rank_t,rank_t3
Hungary,1992,0.09910365735799413,0.3128526208813531,0.2893276637533173,-0.07817212947443952,0.3128526208813531,0.2893276637533173
Hungary,1993,0.13824862154181658,0.3124291011256609,0.2855387761672751,-0.08999942729121968,0.3124291011256609,0.2855387761672751
Hungary,1994,0.18318981774431484,0.295046542534955,0.2946001038920831,-0.001514253380831665,0.295046542534955,0.2946001038920831
Hungary,1995,0.266338805965128,0.2893276637533173,0.3297957452175973,0.13091325435806933,0.2893276637533173,0.3297957452175973
Hungary,1996,0.31992749971731604,0.2855387761672751,0.3663771789643346,0.24928473533009265,0.2855387761672751,0.3663771789643346
Hungary,1997,0.35502310963272293,0.2946001038920831,0.3680986684854975,0.22273148866530645,0.2946001038920831,0.3680986684854975
Hungary,1998,0.35364119290471274,0.3297957452175973,0.3678098694706759,0.1090923232812433,0.3297957452175973,0.3678098694706759
Hungary,1999,0.3165459632359107,0.3663771789643346,0.3719011435794782,0.014964688976115581,0.3663771789643346,0.3719011435794782
Hungary,2000,0.253553826623617,0.3680986684854975,0.3832291622484293,0.04028201472869486,0.3680986684854975,0.3832291622484293
Hungary,2001,0.20012655267417362,0.3678098694706759,0.3893149100637066,0.056822257770104856,0.3678098694706759,0.3893149100637066
Hungary,2002,0.13525695476103403,0.3719011435794782,0.4004641664925235,0.07399602290172269,0.3719011435794782,0.4004641664925235
Hungary,2003,0.07840041330963513,0.3832291622484293,0.3955896690428,0.03174425811868209,0.3832291622484293,0.3955896690428
Hungary,2004,0.03425562831016731,0.3893149100637066,0.3969695918339537,0.019471079788442425,0.3893149100637066,0.3969695918339537
Hungary,2005,0.01494278724621373,0.4004641664925235,0.3812212655152293,-0.04924420859005951,0.4004641664925235,0.3812212655152293
Hungary,2006,0.006753951687249084,0.3955896690428,0.376508155018769,-0.04943764955882679,0.3955896690428,0.376508155018769
Hungary,2007,0.03292140482975259,0.3969695918339537,0.3570147739944447,-0.10608223629652036,0.3969695918339537,0.3570147739944447
Hungary,2008,0.08832463078473986,0.3812212655152293,0.3399792729411025,-0.11449498392045221,0.3812212655152293,0.3399792729411025
Hungary,2009,0.15943372353791666,0.376508155018769,0.3406253597363636,-0.1001562057671117,0.376508155018769,0.3406253597363636
Hungary,2010,0.21205790424530965,0.3570147739944447,0.3318850475075092,-0.07298828606152097,0.3570147739944447,0.3318850475075092
Hungary,2011,0.25052535334032994,0.3399792729411025,0.3412752319413246,0.0038046185370637087,0.3399792729411025,0.3412752319413246
Hungary,2012,0.2477086539886762,0.3406253597363636,0.3557063987826974,0.043322322068048535,0.3406253597363636,0.3557063987826974
Hungary,2013,0.2150637213028311,0.3318850475075092,0.3498903149915361,0.05283089806347574,0.3318850475075092,0.3498903149915361
Hungary,2014,0.17653681991207473,0.3412752319413246,0.3787345044069242,0.10414587019570243,0.3412752319413246,0.3787345044069242
Hungary,2015,0.1396592987373988,0.3557063987826974,0.3987370339267918,0.11419616532359123,0.3557063987826974,0.3987370339267918
Hungary,2016,0.13964332427578802,0.3498903149915361,0.4236525179336453,0.19129336881405823,0.3498903149915361,0.4236525179336453
Hungary,2017,0.204111225391072,0.3787345044069242,0.424484845767044,0.11404057799230005,0.3787345044069242,0.424484845767044
Hungary,2018,0.29567603811135745,0.3987370339267918,0.4463139674135967,0.11272026305014626,0.3987370339267918,0.4463139674135967
North Macedonia,1992,2.316066682533369,0.3657520087603104,0.364478745560021,-0.003487283973823363,0.3657520087603104,0.364478745560021
North Macedonia,1993,2.201930119448155,0.37475354865265,0.3757883777698233,0.002757546191460958,0.37475354865265,0.3757883777698233
North Macedonia,1994,2.054067702589887,0.3614316176382415,0.3931228400435129,0.0840490491955086,0.3614316176382415,0.3931228400435129
North Macedonia,1995,1.8408983013823057,0.364478745560021,0.4417461263580479,0.19226662387869264,0.364478745560021,0.4417461263580479
North Macedonia,1996,1.6409050935614997,0.3757883777698233,0.4897879893679744,0.26494584347954486,0.3757883777698233,0.4897879893679744
North Macedonia,1997,1.4895931537027265,0.3931228400435129,0.5051716677949216,0.2507756104152318,0.3931228400435129,0.5051716677949216
