country,primary_dodji,who_gbd_dodji
Albania,2.301977051011,1.1032988278036358
Austria,-0.336479730310334,-0.2418547614356887
Belarus,0.705410905117321,1.0147298367458752
Belgium,-0.429294254352914,-0.6384733458565428
Bosnia and Herzegovina,0.651864686754371,0.31530224055184636
Bulgaria,0.798993092189358,-0.09419387046266646
Croatia,-0.118885919497889,-0.08570362920168759
Czechia,0.05149575720136,-0.3278386285643169
Denmark,-0.749379643590862,-0.13919780289492648
Estonia,0.275918359965989,3.1163229195083963
Finland,-0.562379010891408,-0.17843308569565292
France,-0.529493079885903,-0.6605362057392674
Germany,-0.867911067488752,-0.8543069973507955
Iceland,0.703428661206264,1.9793838668410597
Italy,-1.1202730531842,-1.4480360315487135
Latvia,-0.353688385154646,-0.01048910817253577
Lithuania,-0.247311173501984,0.2480992917104291
Luxembourg,0.567754662975557,1.6839656594551338
Malta,0.521590727195709,0.4767347362867113
Netherlands,-0.195248460218519,-0.5890363250617275
North Macedonia,0.973625708604972,0.7331108753254935
Norway,-0.706645843856076,-0.37335886166978133
Poland,-0.217886228661285,-1.497679667178539
Portugal,0.622589328950462,0.005263272606500317
Republic of Moldova,-0.197149119183562,-1.4269411919274888
Serbia,-0.003669976997751,-0.6674513481289674
Slovenia,0.971496953135387,0.4148344028083451
Spain,-0.348452146159954,-0.32737196733498786
Switzerland,-0.744889107383162,-0.5233726953180926
United Kingdom,-0.766191163349263,-0.8981086393233515
